,date,title,source,contents,link
34,1일 전,[사진] 이게 457만원짜리 애플 헤드셋,중앙일보,애플은 5일(현지시간) 미국 쿠퍼티노에서 열린 세계 개발자 회의(WWDC)에서 혼합현실 헤드셋 ‘비전 프로(Vision Pro)’를 발표했다. 내년 초 미국에서 3499달러(약 457만원)에 출시 예정이다. 국내 출시 여부와...,https://www.joongang.co.kr/article/25167999
35,1일 전,[굿모닝 마켓] 애플 '비전 프로'에 비전 있을까?…시장 반응은 뜨뜻미지근,SBS Biz언론사 선정,"혼합현실 MR 헤드셋 비전 프로입니다. 시장 반응은 엇갈렸는데요. 비전 프로에 비전이 있을까요? 굿모닝... 애플이 MR헤드셋 비전프로를 공개했습니다. 애플워치 이후 9년 만에 나온 야심작으로, 1,000명이 넘는...",https://biz.sbs.co.kr/article_hub/20000121319?division=NAVER
36,18시간 전,애플 MR 헤드셋 '비전 프로' 공개…미소 짓는 K-디스플레이,EBN,아이폰 제조업체 애플이 혼합현실(MR) 헤드셋을 공개하면서 국내 디스플레이 업계의 기대감도 높아지고 있다. 애플의 MR 헤드셋 시장 참여로 첨단 디스플레이 수요가 늘어나면서 유기발광다이오드(OLED) 중심으로...,https://www.ebn.co.kr/news/view/1579997/?sc=Naver
37,1일 전,9년만 '신제품' 내놨는데 주가 '뚝'…왜?,SBS,"&lt;기자&gt; 창업자 스티브 잡스가 야심작을 공개할 때 자주 쓰던 이 표현과 함께 등장한 애플의 MR 헤드셋 '비전 프로'. 애플은 이 헤드셋 자체가 한 대의 컴퓨터로, 인터넷 브라우저나 3D 영화 화면 같은 가상의 대형 스크린을...",https://news.sbs.co.kr/news/endPage.do?news_id=N1007219070&plink=ORI&cooper=NAVER
38,1일 전,6월 7일 글로벌 이슈 [글로벌 시황&이슈],한국경제TV,"MR 헤드셋, '비전 프로'에 대해 팀 쿡 애플 CEO가 ABC 방송과의 인터뷰를 통해, 이 '비전 프로'가 미래의... '비전 프로'는 현재의 가장 진보된 전자 장비라는 표현을 사용했는데요, '비전 프로'는 그저 헤드셋이 아니라, 앞으로...",https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202306070005&t=NNv
39,22시간 전,"애플, 비전프로 공개…'내일의 공학'으로 터닝포인트 기대",폴리뉴스,"애플이 혼합현실(MR) 헤드셋 '비전 프로'를 공개, 비전 프로가 애플의 전환점이 될 것이라는 기대감을 높이고 있다. 팀 쿡 애플 최고경영자(CEO)는 6일(현지시간) 애플이 전날 공개한 MR 헤드셋 비전 프로에 대해 ""미래의...",https://www.polinews.co.kr/news/articleView.html?idxno=611523
40,2시간 전,"비전프로 혁신 장담한 애플 팀 쿡, 강한 자신감 왜?",브릿지경제,"(MR) 헤드셋에 대한 강한 자신감을 내비쳤다.7일 업계에 따르면, 쿡 CEO는 6일(현지시간) 미국 ABC 방송... 애플은 지난 5일(현지시간) 세계개발자회의(WWDC)에서 그동안 기대를 모았던 MR 헤드셋 비전 프로를 공개했다. 스키...",https://www.viva100.com/main/view.php?key=20230607010001671
41,1일 전,[김대호 박사의 오늘 기업·사람] 오뚜기·농심·삼양식품·애플·소니·TSMC...,SBS Biz언론사 선정,"이번엔 헤드셋인데요. 박사님, 우리가 일반적으로 아는 헤드셋이 아니라 혼합현실(MR) 헤드셋이라고 합니다. 혼합현실 생소한데 뭔가요? - 애플, MR 헤드셋 '비전프로' 공개…9년 만에 신제품 - 5일 열린 애플 WWDC서 공개...",https://biz.sbs.co.kr/article_hub/20000121315?division=NAVER
42,1일 전,"""애플 'MR 헤드셋' 광풍은 없다""… 테슬라, 강세 지속 ""모델3 배터리 보조금 ...",디지털데일리,전날 애플이 연례 개발자 컨퍼런스에서 혼합현실(MR) 헤드셋을 공개했지만 시장 반응이 아직은 유보적인... 9년동안 준비해온 차세대 MR(혼합현실)헤드셋을 첫 공개했지만 시장 반응이 냉랭한 것이 주가에도 악영향을...,https://www.ddaily.co.kr/page/view/2023060708253167282
43,1일 전,[글로벌 비즈 브리핑] TSMC는 벌써 2나노?·美 가상자산 정조준 外,SBS Biz,"한 눈에 보는 해외 경제이슈 ▲""TSMC, 2나노 시범생산 착수...삼성에 큰 압박"" ▲베일 벗은 애플 헤드셋...... 베일 벗은 애플 헤드셋...미래가 현실로? 애플의 첫 혼합현실(MR) 헤드셋이 베일을 벗었습니다. 애플은 5일...",https://biz.sbs.co.kr/article_hub/20000121280?division=NAVER
44,14시간 전,애플 AI 전략은 '온디바이스화',AI타임스,애플은 5일(현지시간) 세계 개발자 컨퍼런스 2023(WWDC 2023) 기조연설에서 첫 혼합현실(MR) 헤드셋 '비전 프로... 애플의 비전 프로 헤드셋에 있는 사용자 아이 디스플레이는 얼굴 스캔과 고급 ML 기술을 통해 생성된다....,https://www.aitimes.com/news/articleView.html?idxno=151564
45,14시간 전,마이크로닉스 '컴퓨텍스 2023' 전시 성공적으로 마무리,게임포커스,"게이밍 기어(키보드·마우스·헤드셋)와 파워서플라이, PC 케이스, 냉각장치 등 PC 주변기기 전반에 걸쳐... 위즈맥스 ZH3와 마카롱(MACARON) 등 마이크로닉스가 처음 선보인 무선 게이밍 헤드셋에 대한 관심도 높았다....",http://gamefocus.co.kr/detail.php?number=141833
46,22시간 전,TECH GOES HOME,마리끌레르,#ENTERTAINMENT JBL QUANTUM 910 무선 게이밍 헤드셋 부부 사이에 대화가 중요한 만큼 게임에서도 소통이 필요하다. JBL 퀀텀 910은 함께 전장을 누비는 부부를 위한 무선 게이밍 헤드셋이다. 게이밍 헤드셋 중 최상위 모델로 7....,https://www.marieclairekorea.com/wedding/2023/06/tech-goes-home/?utm_source=naver&utm_medium=partnership
47,1일 전,"애플·메타발 VR 바람, 게임업계 글로벌 시장 공략 기회되나",굿모닝경제,"(혼합현실) 헤드셋 '비전 프로'을 공개했다. 애플은 내년 초부터 비전 프로를 판매할 계획으로, 본격적으로... 애플은 MR헤드셋 공개와 함께 VR게임 플랫폼도 함께 공개했고 메타는 메타 퀘스트3와 동시에 18종의 신작...",http://www.goodkyung.com/news/articleView.html?idxno=209180
48,15시간 전,믿기지 않는 가격! 드디어 베일 벗은 애플의 야심작 ‘비전 프로’,엘르,출시 전부터 가상현실(VR)과 증강현실(AR)을 합친 혁신적인 ‘혼합현실(MR) 헤드셋’으로 관심을 모았던 비전 프로. 하지만 이날 애플은 비전 프로를 헤드셋이 아닌 ‘착용할 수 있는 공간 컴퓨터’로 명명했습니다. 그도...,http://www.elle.co.kr/article/78194
49,22시간 전,너무 비싼 애플 비전 프로…대중 공략 방법은?,디지털투데이,비전 프로(Vision Pro) [사진: 애플] 애플이 혼합현실(MR) 헤드셋 비전 프로(Vision Pro)를 공개한 가운데 이미지... 또다른 가능성으로는 애플이 과거 VR 헤드셋의 출시 동향을 통해 제품 출시 전 소비자 인식을 살펴본 결과로...,http://www.digitaltoday.co.kr/news/articleView.html?idxno=478373
50,23시간 전,"[특징주] 팸텍, 애플 비전프로 공개..애플 최종 고객사 부각 '강세'",아이뉴스24,"애플 혼합현실(MR) 헤드셋 비전 프로(Vision Pro)가 내년 출시될 것으로 예상된 가운데, 카메라 수급... 애플은 지난 5일(현지시각) 애플 세계개발자콘퍼런스(WWDC)에서 공개된 혼합현실(MR) 헤드셋 비전 프로(Vision Pro)...",http://www.inews24.com/view/1600385
51,16시간 전,"애플 '비전 프로' 관심↑…미소 짓는 SKT·네이버·컴투스, 왜?",뉴스웨이,애플 혼합현실(MR) 헤드셋 '비전 프로'(Vision Pro)가 야기할 파급효과를 기대해서다. 이들은 강력한 MR헤드셋 출현이 메타버스 산업의 본격적인 성장을 이끌 '촉매제'로 역할 할 수 있다고 입을 모은다. 비전 프로가 만들...,https://www.newsway.co.kr/news/view?ud=2023060716053255263
52,14시간 전,"""메타 아성에 도전""…애플 '비전 프로' 출시…향후 구도는",테크월드,메타가 장악하고 있는 '메타버스 헤드셋' 시장에 애플이 참전하며 미묘한 균열이 감지됐다. 애플은 몰입감... ▶ 메타가 장악한 '메타버스 헤드셋' 시장 시장조사기관 마켓앤마켓에 따르면 전 세계 메타버스 시장...,https://www.epnc.co.kr/news/articleView.html?idxno=233618
53,10시간 전,"아이팟 개발자, 애플 '비전 프로'에 혹평",포춘코리아,"애플이 공개한 혼합현실 헤드셋 비전 프로 [사진=뉴시스] 애플(Apple)이 가상현실 헤드셋을 선보인 가운데, 아이팟(iPod) 개발자가 사실상 '혹평'에 가까운 평가를 내놔 눈길을 끌고 있다. 최근 애플은 세계 개발자...",http://www.fortunekorea.co.kr/news/articleView.html?idxno=28413
54,1일 전,"월가 ""애플 비전프로, VR/AR 시장 촉매제…진입 장벽은 높아""",연합인포맥스,"애플의 비전 프로 헤드셋[연합뉴스 자료사진] 6일(현지시간) CNBC와 마켓워치에 따르면 JP모건은 애플에 대한... 그는 다만 ""헤드셋의 발표는 예상됐으나 소매가가 예상보다 높고, 출시일은 예상보다 늦어졌다""고...",http://news.einfomax.co.kr/news/articleView.html?idxno=4268906
55,1일 전,공간 컴퓨팅? 애플은 메타버스를 언급하지 않았다.,슬로우뉴스,"애플이 오늘(미국 시간 6월5일), ‘비전 프로(Vision Pro)’라는 이름으로 헤드셋(공간 컴퓨터)을 공개했다.... 헤드셋이 디스플레이가 된다. 커피숍에서든 지하철에서든 비행기 안에서든 헤드셋을 뒤집어 쓰는 순간...",https://slownews.kr/91286
56,22시간 전,“9년 만에 나온 신제품” 애플 비전 프로에 관해 알아야 할 모든 것,ITWorld,"애플이 오랫동안 소문만 자자했던 헤드셋을 마침내 공개했다. 애플은 ‘비전 프로(Vision Pro)’를 VR 헤드셋이 아닌 ‘최초의 공간 컴퓨터(first spatial computer)’라고 부르며, 사용자가 헤드셋을 착용한 채로 실제...",https://www.itworld.co.kr/news/293299
57,17시간 전,스티브 잡스는 애플 비전 프로를 좋아했을까?,디지털투데이,"프로 헤드셋에 열광했을 것이라 주장했다. 6일(현지시간) IT매체 비즈니스인사이더에따르면, 윌터... 그에 따르면 잡스에게 있어서 시리(Siri)는 인간-컴퓨터 인터페이스에서 큰 발전을 이룬 기능이며, 비전 프로 헤드셋도...",http://www.digitaltoday.co.kr/news/articleView.html?idxno=478419
58,16시간 전,"[데일리픽] SEC ""디지털 화폐 불필요""...혼합보다 '현실'에 집중한 애플",디지털투데이,애플이 혼합현실(MR) 헤드셋 비전 프로(Vision Pro)를 공개한 가운데 이미지 메이킹에 열심이다. 마크 거먼... 그는 팀 쿡 CEO가 헤드셋을 착용하지 않은 것은 '밈'(meme)으로 소비되지 않기 위한 전략이라고 봤다. 마크...,http://www.digitaltoday.co.kr/news/articleView.html?idxno=478424
59,17시간 전,"애플 비전 프로 실사용 후기 ""가볍지만 배터리 신경쓰여""",디지털투데이,비전 프로(Vision Pro) [사진: 애플] 최근 공개된 애플 혼합현실(MR) 헤드셋 비전 프로(Vision Pro)의 실사용 후기를... 이는 헤드셋 착용 시 안경을 쓸 수 없기 때문에 시력 교정 삽입물의 필요 여부를 확인하기 위함이었다....,http://www.digitaltoday.co.kr/news/articleView.html?idxno=478416
60,1일 전,"DA데이비드슨 ""'유니티소프트·로블록스' 주목해야 하는 이유""",연합인포맥스,"애플의 의 세계 개발자 회의(영어: Apple Worldwide Developers Conference, WWDC)에서 소개된 혼합현실(MR) 헤드셋이... 애플은 전날 증강현실(AR)을 확장한 개념인 MR 헤드셋을 전격 공개하면서 유니티소프트웨어가 콘첸츠...",http://news.einfomax.co.kr/news/articleView.html?idxno=4268908
61,15시간 전,"김남희, 예측불가 왓츠인마이백..니플패치 등장에 ""상대 배우 배려하기 위해""...",헤럴드POP,"90년대 느낌 헤드셋도 있었다. 김남희는 ""레트로 열풍이 불었다. 레트로한 것들을 좋아해서 옛날 헤드셋이 쓰고 싶더라. 귀 전체를 다 덮는 헤드셋도 좋은데, 외부 소리도 잘 들려서 운동할 때 위험하지 않다. 단점은...",http://biz.heraldcorp.com/view.php?ud=202306071640564194891_1
62,17시간 전,[연기홍칼럼] 온다고 하는데 언제 활짝 필까?…현실로 스며드는 '메타버스',뉴스드림,(MR) 헤드셋 '비전 프로'(Vision Pro)'를 전격 공개해 성큼 현실로 닥친 느낌이다. MR은 현실 세계에 3차원 가상... 애플이 공개한 헤드셋 비전프로는 스키 고글과 유사한 형태로 머리에 착용하면 컴퓨터상에 실제 주변 사물과...,http://www.newsdream.kr/news/articleView.html?idxno=42891
63,13시간 전,"[EBN 오늘(7일) 이슈 종합] 빨라지는 시공사 선정 시기, 라면값 천정부지, 전...",EBN,■애플 MR 헤드셋 '비전 프로' 공개…미소 짓는 K-디스플레이 아이폰 제조업체 애플이 혼합현실(MR) 헤드셋을 공개하면서 국내 디스플레이 업계의 기대감도 높아지고 있다. 애플의 MR 헤드셋 시장 참여로 첨단 디스플레이...,https://www.ebn.co.kr/news/view/1580047/?sc=Naver
